model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,naps,picp,pinaw,cwc,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time,train_checkpoint_path,test_checkpoint_path
DLinear,filtered_Turbine_Data_Penmanshiel_01_2022-01-01_-_2023-01-01.csv,,0.27375212,0.36624786,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-38-53,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,20,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-38-53,,
DLinear,filtered_Turbine_Data_Penmanshiel_02_2022-01-01_-_2023-01-01.csv,,0.30205852,0.38231125,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-40-11,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,20,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-40-11,,
DLinear,filtered_Turbine_Data_Penmanshiel_04_2022-01-01_-_2023-01-01.csv,,0.29217008,0.3768852,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-41-24,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,20,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-41-24,,
DLinear,filtered_Turbine_Data_Penmanshiel_05_2022-01-01_-_2023-01-01.csv,,0.31156704,0.3829428,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-42-35,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,20,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-42-35,,
DLinear,filtered_Turbine_Data_Penmanshiel_06_2022-01-01_-_2023-01-01.csv,,0.3198544,0.3832219,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-43-46,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,20,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-43-46,,
DLinear,filtered_Turbine_Data_Penmanshiel_07_2022-01-01_-_2023-01-01.csv,,0.26086506,0.33643985,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-44-58,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,20,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-44-58,,
DLinear,filtered_Turbine_Data_Penmanshiel_08_2022-01-01_-_2023-01-01.csv,,0.30584416,0.38246918,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-46-10,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,44,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-46-10,,
DLinear,filtered_Turbine_Data_Penmanshiel_09_2022-01-01_-_2023-01-01.csv,,0.2996957,0.37118405,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-48-38,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,20,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-48-38,,
DLinear,filtered_Turbine_Data_Penmanshiel_10_2022-01-01_-_2023-01-01.csv,,0.2941345,0.3704251,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-49-50,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,20,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-49-50,,
DLinear,filtered_Turbine_Data_Penmanshiel_11_2022-01-01_-_2023-01-01.csv,,0.17004053,0.26018825,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-51-03,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,21,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-51-03,,
